id,INDIVIDUALS,pop,STRATA_name,lat,lon,sex ,CATCH_YEAR,INFO_DETAIL_AREA,FORK_LENGTH_CM
67616,Vigo_T9,NATL,Atlantic-N,40,-26,F,2012,Azores,110
67624,Vigo_T17,NATL,Atlantic-N,40,-26,F,2012,Azores,153
67609,Vigo_T2,NATL,Atlantic-N,40,-26,F,2012,Azores,145.3
67617,Vigo_T10,NATL,Atlantic-N,40,-26,F,2012,Azores,113
67625,Vigo_T18,NATL,Atlantic-N,40,-26,F,2012,Azores,128
67610,Vigo_T3,NATL,Atlantic-N,40,-26,F,2012,Azores,126
67618,Vigo_T11,NATL,Atlantic-N,40,-26,F,2012,Azores,117
67626,Vigo_T19,NATL,Atlantic-N,40,-26,F,2012,Azores,116
67611,Vigo_T4,NATL,Atlantic-N,40,-26,F,2012,Azores,128.7
67619,Vigo_T12,NATL,Atlantic-N,40,-26,F,2012,Azores,117
67612,Vigo_T5,NATL,Atlantic-N,40,-26,F,2012,Azores,152.5
67620,Vigo_T13,NATL,Atlantic-N,40,-26,F,2012,Azores,148
67628,Vigo_T21,NATL,Atlantic-N,40,-26,F,2012,Azores,169
67613,Vigo_T6,NATL,Atlantic-N,40,-26,F,2012,Azores,121.6
67629,Vigo_T22,NATL,Atlantic-N,40,-26,F,2012,Azores,134
67614,Vigo_T7,NATL,Atlantic-N,40,-26,F,2012,Azores,126.5
67622,Vigo_T15,NATL,Atlantic-N,40,-26,F,2012,Azores,172
67630,Vigo_T23,NATL,Atlantic-N,40,-26,F,2012,Azores,112
67615,Vigo_T8,NATL,Atlantic-N,40,-26,F,2012,Azores,185
67623,Vigo_T16,NATL,Atlantic-N,40,-26,F,2012,Azores,129
67632,Pg_AZO_2,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67640,Pg_AZO_51,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67648,Pg_AZO_116,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67656,Pg_AZO_188,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67633,Pg_AZO_9,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67641,Pg_AZO_52,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67649,Pg_AZO_124,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67634,Pg_AZO_24,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67642,Pg_AZO_56,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67650,Pg_AZO_125,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67635,Pg_AZO_25,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67643,Pg_AZO_62,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67651,Pg_AZO_136,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67636,Pg_AZO_30,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67644,Pg_AZO_74,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67652,Pg_AZO_142,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67637,Pg_AZO_35,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67645,Pg_AZO_79,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67653,Pg_AZO_157,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67638,Pg_AZO_38,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67646,Pg_AZO_90,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67654,Pg_AZO_162,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67639,Pg_AZO_50,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67647,Pg_AZO_105,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67655,Pg_AZO_187,NATL,Atlantic-N,40,-26,NA,2009,Azores,NA
67608,Vigo_T1,NATL,Atlantic-N,40,-26,M,2012,Azores,123.6
67627,Vigo_T20,NATL,Atlantic-N,40,-26,M,2012,Azores,116
67621,Vigo_T14,NATL,Atlantic-N,40,-26,M,2012,Azores,99
67631,Vigo_T24,NATL,Atlantic-N,40,-26,M,2012,Azores,123
67664,Pg_T91,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,78
67681,Pg_T108,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,86
67665,Pg_T92,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,81.5
67673,Pg_T100,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,85
67658,Pg_T85,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,80
67674,Pg_T101,NEATL,Atlantic-NE,44.5,-7.42,F,2013,Bay_Of_Biscay,86
